url,asin,priority_score,source,rank,category,title
https://www.amazon.ae/Cotton-Paradise-Cabana-Oversized-Absorbent/dp/B09SX5FT73,B09SX5FT73,120.0,movers_shakers,5,Home,AED 125.39-AED 289.85
https://www.amazon.ae/Anker-Charger-Supports-Charging-Included/dp/B0CMXJVRT9,B0CMXJVRT9,120.0,movers_shakers,5,Mobile Phones & Communication Products,AED 39.00
https://www.amazon.ae/Yellowing-Resistant-Compatible-iPhone-Cushion/dp/B0FN76QTXD,B0FN76QTXD,120.0,movers_shakers,5,Mobile Phones & Communication Products,
https://www.amazon.ae/Mechanical-Pressure-Motorcycles-Stainless-Deflation/dp/B0DZNK8GZ9,B0DZNK8GZ9,120.0,movers_shakers,5,Automotive,AED 39.90
https://www.amazon.ae/YeewayVeh-Extendable-Microfiber-Exterior-Motorcycle/dp/B0BS18KT96,B0BS18KT96,120.0,movers_shakers,5,Automotive,AED 14.99
https://www.amazon.ae/MOTIM-Trigger-Controller-Gamepad-Joystick/dp/B0DK1XZDHH,B0DK1XZDHH,120.0,movers_shakers,5,Videogames,AED 69.00
https://www.amazon.ae/Logitech-Aurora-Collection-Mouse-Pad/dp/B07W4DH6N7,B07W4DH6N7,120.0,movers_shakers,5,Videogames,AED 147.54-AED 469.00
https://www.amazon.ae/Play-Doh-Preschool-Classroom-Modeling-Compound/dp/B0DNFRNVZM,B0DNFRNVZM,120.0,movers_shakers,5,Toys,AED 19.19
https://www.amazon.ae/Antari-Premium-Bubble-Liquid-BL/dp/B07XZ1WYB6,B07XZ1WYB6,120.0,movers_shakers,5,Toys,AED 38.00
https://www.amazon.ae/Mood-Espresso-Nespresso-Compatible-Aluminium/dp/B0B15LPCRH,B0B15LPCRH,120.0,movers_shakers,5,Grocery,AED 143.64
https://www.amazon.ae/Sky-Touch-Electric-Handlebar-Compatible-Waterproof/dp/B0994RJVZZ,B0994RJVZZ,120.0,movers_shakers,5,Sporting Goods,AED 32.25
https://www.amazon.ae/Coordination-Publications-Punctuation-Spelling-Targeted/dp/1782941320,1782941320,120.0,movers_shakers,5,Books,Paperback
https://www.amazon.ae/Sanita-Club-Napco-Toilet-Tissue/dp/B0B25BBN6G,B0B25BBN6G,120.0,movers_shakers,5,Health,AED 19.00
https://www.amazon.ae/Feeding-15-Degree-Mattress-Sleeping-Removable/dp/B0F21HLXDV,B0F21HLXDV,120.0,movers_shakers,5,Baby Products,AED 49.99
https://www.amazon.ae/Pampers-Protection-Diapers-Lotion-Complete/dp/B0F6M4VMPY,B0F6M4VMPY,120.0,movers_shakers,5,Baby Products,AED 204.69
https://www.amazon.ae/ORBON-Vibration-Absorber-Cancelling-Adjustment/dp/B0DSWCYCPF,B0DSWCYCPF,120.0,movers_shakers,5,Appliances,AED 34.36
